school_name,phase 2A vacancies,day_1 phase 2A applicants,day_2 phase 2A applicants,19/07/2023 phase 2A vacancies,19/07/2023 phase 2A applicants,20/07/2023 phase 2A vacancies,20/07/2023 phase 2A applicants,20/07/2023 phase 2A ballot_criteria,24/07/2023 phase 2B vacancies,24/07/2023 phase 2B applicants,24/07/2023 phase 2B ballot_criteria,25/07/2023 phase 2B vacancies,25/07/2023 phase 2B applicants,25/07/2023 phase 2B ballot_criteria,26/07/2023 phase 2B vacancies,26/07/2023 phase 2B applicants,26/07/2023 phase 2B ballot_criteria,27/07/2023 phase 2B vacancies,27/07/2023 phase 2B applicants,27/07/2023 phase 2B ballot_criteria,28/07/2023 phase 2B vacancies,28/07/2023 phase 2B applicants,28/07/2023 phase 2B ballot_criteria,31/07/2023 phase 2C vacancies,31/07/2023 phase 2C max pr vacancies,31/07/2023 phase 2C applicants,31/07/2023 phase 2C ballot_criteria,01/08/2023 phase 2C vacancies,01/08/2023 phase 2C max pr vacancies,01/08/2023 phase 2C applicants,01/08/2023 phase 2C ballot_criteria,03/08/2023 phase 2C vacancies,03/08/2023 phase 2C max pr vacancies,03/08/2023 phase 2C applicants,03/08/2023 phase 2C ballot_criteria,10/08/2023 phase 2C vacancies,10/08/2023 phase 2C max pr vacancies,10/08/2023 phase 2C applicants,10/08/2023 phase 2C ballot_criteria,14/08/2023 phase 2C vacancies,14/08/2023 phase 2C max pr vacancies,14/08/2023 phase 2C applicants,14/08/2023 phase 2C ballot_criteria
River Valley Primary School,67,31,49,67,52,67,52,-,25,14,-,25,14,-,25,14,-,25,14,-,25,16,-,59,-,-,-,59,-,43,-,59,-,60,-,60,-,73,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",60,-,73,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Riverside Primary School,63,45,55,63,70,63,70,"Balloting will be conducted for Permanent Resident children residing within 1km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",20,1,-,20,1,-,20,1,-,20,1,-,20,1,-,59,-,-,-,59,-,61,-,59,-,70,-,59,-,90,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",59,-,90,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Rivervale Primary School,44,15,16,44,20,44,20,-,28,13,-,28,13,-,28,13,-,28,13,-,28,14,-,70,-,-,-,70,-,97,-,70,-,117,-,70,-,133,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",70,-,133,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Rosyth School,75,81,115,75,120,75,120,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",20,20,-,20,20,-,20,20,-,20,20,-,20,23,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",41,-,-,-,41,-,96,-,41,-,124,-,41,-,142,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",41,-,142,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Rulang Primary School,88,79,101,88,102,88,102,"Balloting will be conducted for Singapore Citizen children residing outside 2km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",20,23,-,20,23,-,20,23,-,20,23,-,20,26,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",40,-,-,-,41,-,86,-,41,-,100,-,41,-,112,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",41,-,112,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Sembawang Primary School,58,27,40,58,44,58,44,-,25,0,-,25,0,-,25,0,-,25,0,-,25,1,-,73,-,-,-,74,-,38,-,75,-,51,-,75,-,67,-,75,-,67,-
Seng Kang Primary School,111,7,8,111,9,111,9,-,54,0,-,54,0,-,54,0,-,54,0,-,54,0,-,163,-,-,-,163,-,16,-,163,-,19,-,163,-,22,-,163,-,22,-
Sengkang Green Primary School,92,103,117,92,121,92,121,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",20,14,-,20,14,-,20,14,-,20,14,-,20,15,-,45,-,-,-,45,-,69,-,45,-,78,-,45,-,87,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",45,-,87,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Shuqun Primary School,62,27,40,62,49,62,49,-,25,12,-,25,12,-,25,12,-,25,12,-,25,15,-,59,-,-,-,59,-,84,-,59,-,100,-,60,-,97,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",60,-,97,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Si Ling Primary School,50,10,10,50,10,50,10,-,33,0,-,33,0,-,33,0,-,33,0,-,33,0,-,100,-,-,-,100,-,11,-,100,-,17,-,100,-,22,-,100,-,22,-
