school_name,phase 2A vacancies,day_1 phase 2A applicants,day_2 phase 2A applicants,19/07/2023 phase 2A vacancies,19/07/2023 phase 2A applicants,20/07/2023 phase 2A vacancies,20/07/2023 phase 2A applicants,20/07/2023 phase 2A ballot_criteria,24/07/2023 phase 2B vacancies,24/07/2023 phase 2B applicants,24/07/2023 phase 2B ballot_criteria,25/07/2023 phase 2B vacancies,25/07/2023 phase 2B applicants,25/07/2023 phase 2B ballot_criteria,26/07/2023 phase 2B vacancies,26/07/2023 phase 2B applicants,26/07/2023 phase 2B ballot_criteria,27/07/2023 phase 2B vacancies,27/07/2023 phase 2B applicants,27/07/2023 phase 2B ballot_criteria,28/07/2023 phase 2B vacancies,28/07/2023 phase 2B applicants,28/07/2023 phase 2B ballot_criteria,31/07/2023 phase 2C vacancies,31/07/2023 phase 2C max pr vacancies,31/07/2023 phase 2C applicants,31/07/2023 phase 2C ballot_criteria,01/08/2023 phase 2C vacancies,01/08/2023 phase 2C max pr vacancies,01/08/2023 phase 2C applicants,01/08/2023 phase 2C ballot_criteria,03/08/2023 phase 2C vacancies,03/08/2023 phase 2C max pr vacancies,03/08/2023 phase 2C applicants,03/08/2023 phase 2C ballot_criteria,10/08/2023 phase 2C vacancies,10/08/2023 phase 2C max pr vacancies,10/08/2023 phase 2C applicants,10/08/2023 phase 2C ballot_criteria,14/08/2023 phase 2C vacancies,14/08/2023 phase 2C max pr vacancies,14/08/2023 phase 2C applicants,14/08/2023 phase 2C ballot_criteria
Admiralty Primary School,75,23,30,75,32,75,32,-,34,32,-,34,32,-,34,32,-,34,32,-,34,37,"Balloting will be conducted for Permanent Resident children residing within 1km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",69,-,-,-,69,-,88,-,69,-,101,-,70,-,109,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",70,-,109,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Ahmad Ibrahim Primary School,106,9,10,106,10,106,10,-,52,0,-,52,0,-,52,0,-,52,0,-,52,0,-,156,-,-,-,157,-,17,-,157,-,26,-,157,-,27,-,157,-,27,-
Ai Tong School,126,90,110,126,120,126,120,-,22,12,-,22,12,-,22,12,-,22,12,-,22,56,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",44,-,-,-,44,-,53,-,44,-,70,-,45,-,78,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",45,-,78,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Alexandra Primary School,83,6,9,83,13,83,13,-,43,3,-,43,3,-,43,3,-,43,3,-,43,4,-,126,-,-,-,126,-,93,-,126,-,119,-,127,-,141,"Balloting will be conducted for Singapore Citizen children residing outside 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",127,-,141,"Balloting will be conducted for Singapore Citizen children residing outside 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Anchor Green Primary School,95,19,24,95,30,95,30,-,42,0,-,42,0,-,42,0,-,42,0,-,42,0,-,126,-,-,-,126,-,29,-,127,-,33,-,128,-,36,-,128,-,36,-
Anderson Primary School,79,35,43,79,46,79,46,-,31,18,-,31,18,-,31,18,-,31,18,-,31,19,-,74,-,-,-,74,-,65,-,74,-,83,-,74,-,92,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",74,-,92,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Ang Mo Kio Primary School,58,17,26,58,33,58,33,-,28,0,-,28,0,-,28,0,-,28,0,-,28,0,-,85,-,-,-,85,-,20,-,85,-,23,-,85,-,29,-,85,-,29,-
Anglo-Chinese School (Junior),134,81,99,134,101,134,101,-,31,29,-,31,29,-,31,29,-,31,29,-,31,52,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",62,-,-,-,62,-,32,-,62,-,48,-,62,-,79,"Balloting will be conducted for Singapore Citizen children residing outside 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",62,-,79,"Balloting will be conducted for Singapore Citizen children residing outside 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Anglo-Chinese School (Primary),124,80,96,124,106,124,106,-,26,44,-,26,44,-,26,44,-,26,44,-,26,51,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",53,-,-,-,53,-,37,-,53,-,47,-,53,-,68,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",53,-,68,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Angsana Primary School,132,79,90,132,95,132,95,-,32,1,-,32,1,-,32,1,-,32,1,-,32,2,-,95,-,-,-,95,-,120,-,95,-,149,-,95,-,167,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",95,-,167,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Beacon Primary School,30,2,4,30,6,30,6,-,28,0,-,28,0,-,28,0,-,28,0,-,28,0,-,84,-,-,-,84,-,21,-,84,-,23,-,84,-,31,-,84,-,31,-
Bedok Green Primary School,94,7,10,94,11,94,11,-,48,0,-,48,0,-,48,0,-,48,0,-,48,0,-,143,-,-,-,143,-,14,-,143,-,21,-,143,-,27,-,143,-,27,-
Bendemeer Primary School,94,9,9,94,12,94,12,-,47,1,-,47,1,-,47,1,-,47,1,-,47,1,-,141,-,-,-,142,-,23,-,142,-,28,-,143,-,30,-,143,-,30,-
Blangah Rise Primary School,37,11,18,37,20,37,20,-,26,0,-,26,0,-,26,0,-,26,0,-,26,0,-,77,-,-,-,77,-,7,-,77,-,11,-,77,-,18,-,77,-,18,-
Boon Lay Garden Primary School,74,9,15,74,15,74,15,-,40,0,-,40,0,-,40,0,-,40,0,-,40,0,-,119,-,-,-,121,-,16,-,121,-,22,-,121,-,27,-,121,-,27,-
Bukit Panjang Primary School,80,62,73,80,78,80,78,-,21,21,-,21,21,-,21,21,-,21,21,-,21,24,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",41,-,-,-,41,-,78,-,41,-,89,-,42,-,89,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",42,-,89,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Bukit Timah Primary School,56,7,7,56,7,56,7,-,36,0,-,36,0,-,36,0,-,36,0,-,36,1,-,108,35,-,-,108,35,43,-,109,35,62,-,111,35,71,-,111,35,71,-
Bukit View Primary School,198,7,11,198,17,198,17,-,80,0,-,80,0,-,80,0,-,80,0,-,80,0,-,241,-,-,-,242,-,20,-,242,-,25,-,242,-,27,-,242,-,27,-
Canberra Primary School,100,11,15,100,16,100,16,-,48,20,-,48,20,-,48,20,-,48,20,-,48,22,-,122,-,-,-,122,-,101,-,122,-,123,-,122,-,131,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",122,-,131,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Canossa Catholic Primary School,12,2,3,12,3,12,3,-,23,14,-,23,14,-,23,14,-,23,14,-,23,19,-,50,-,-,-,50,-,40,-,50,-,53,-,50,-,56,"This school only has places for Singapore Citizen children residing within 2km of the school. No balloting will be conducted.

If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",50,-,56,"This school only has places for Singapore Citizen children residing within 2km of the school. No balloting will be conducted.

If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Cantonment Primary School,45,3,3,45,4,45,4,-,34,2,-,34,2,-,34,2,-,34,2,-,34,2,-,99,-,-,-,99,-,19,-,99,-,31,-,100,-,40,-,100,-,40,-
Casuarina Primary School,24,14,15,24,18,24,18,-,22,0,-,22,0,-,22,0,-,22,0,-,22,0,-,66,-,-,-,66,-,32,-,66,-,39,-,66,-,44,-,66,-,44,-
Catholic High School (Primary Section),116,96,132,116,135,116,135,"Balloting will be conducted for Singapore Citizen children residing outside 2km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",20,26,-,20,26,-,20,26,-,20,26,-,20,29,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",40,-,-,-,40,-,41,-,40,-,49,-,40,-,52,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",40,-,52,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Cedar Primary School,128,25,35,128,36,128,36,-,51,0,-,51,0,-,51,0,-,51,0,-,51,1,-,151,-,-,-,151,-,21,-,151,-,31,-,151,-,38,-,151,-,38,-
Changkat Primary School,75,9,13,75,15,75,15,-,40,1,-,40,1,-,40,1,-,40,1,-,40,1,-,119,-,-,-,119,-,40,-,119,-,49,-,119,-,56,-,119,-,56,-
CHIJ (Katong) Primary,96,19,28,96,30,96,30,-,42,15,-,42,15,-,42,15,-,42,15,-,42,21,-,105,-,-,-,105,-,41,-,105,-,50,-,105,-,63,-,105,-,63,-
CHIJ (Kellock),93,8,11,93,12,93,12,-,47,7,-,47,7,-,47,7,-,47,7,-,47,14,-,127,-,-,-,128,-,34,-,128,-,39,-,128,-,49,-,128,-,49,-
CHIJ Our Lady of Good Counsel,61,8,10,61,11,61,11,-,37,9,-,37,9,-,37,9,-,37,9,-,37,11,-,99,-,-,-,100,-,22,-,100,-,31,-,101,-,40,-,101,-,40,-
CHIJ Our Lady of the Nativity,120,17,23,120,24,120,24,-,52,31,-,52,31,-,52,31,-,52,31,-,52,45,-,111,-,-,-,111,-,90,-,111,-,102,-,111,-,113,"Balloting will be conducted for Permanent Resident children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",111,-,113,"Balloting will be conducted for Permanent Resident children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
CHIJ Our Lady Queen of Peace,72,14,15,72,15,72,15,-,39,12,-,39,12,-,39,12,-,39,12,-,40,14,-,105,-,-,-,105,-,42,-,105,-,47,-,105,-,59,-,105,-,59,-
CHIJ Primary (Toa Payoh),99,65,76,100,78,100,78,-,27,20,-,27,20,-,27,20,-,27,20,-,27,53,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",55,-,-,-,55,-,53,-,55,-,61,-,55,-,69,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",55,-,69,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
CHIJ St. Nicholas Girls' School (Primary Section),80,86,99,80,103,80,103,"Balloting will be conducted for Singapore Citizen children residing outside 2km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",20,38,-,20,38,-,20,38,-,20,38,-,20,46,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",40,-,-,-,40,-,61,-,40,-,79,-,40,-,84,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",40,-,84,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Chongfu School,118,58,70,118,73,118,73,-,35,45,-,35,45,-,35,45,-,35,45,-,35,53,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",70,-,-,-,71,-,86,-,72,-,99,-,72,-,112,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",72,-,112,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Chongzheng Primary School,59,32,40,60,41,60,41,-,26,5,-,26,5,-,26,5,-,26,5,-,26,7,-,72,-,-,-,72,-,60,-,72,-,76,-,72,-,84,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",72,-,84,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Chua Chu Kang Primary School,59,35,39,59,44,59,44,-,25,13,-,25,13,-,25,13,-,25,13,-,25,14,-,61,-,-,-,61,-,93,-,61,-,95,-,62,-,111,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",62,-,111,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Clementi Primary School,165,7,9,165,13,165,13,-,71,0,-,71,0,-,71,0,-,71,0,-,71,0,-,212,58,-,-,212,58,32,-,212,58,39,-,214,58,51,-,214,58,51,-
Compassvale Primary School,73,8,10,73,14,73,14,-,40,18,-,40,18,-,40,18,-,40,18,-,40,18,-,101,-,-,-,101,-,83,-,101,-,106,-,101,-,133,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",101,-,133,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Concord Primary School,81,24,29,81,32,81,32,-,36,1,-,36,1,-,36,1,-,36,1,-,36,1,-,108,-,-,-,108,-,49,-,108,-,65,-,108,-,76,-,108,-,76,-
Corporation Primary School,75,11,12,75,17,75,17,-,39,0,-,39,0,-,39,0,-,39,0,-,39,2,-,116,-,-,-,117,-,16,-,117,-,20,-,118,-,31,-,118,-,31,-
Damai Primary School,41,7,9,41,13,41,13,-,29,0,-,29,0,-,29,0,-,29,0,-,29,1,-,87,-,-,-,87,-,13,-,87,-,16,-,87,-,22,-,87,-,22,-
Dazhong Primary School,84,43,54,84,61,84,61,-,28,0,-,28,0,-,28,0,-,28,0,-,28,0,-,83,-,-,-,85,-,51,-,85,-,60,-,85,-,83,-,85,-,83,-
De La Salle School,89,10,14,89,16,89,16,-,44,2,-,44,2,-,44,2,-,44,2,-,44,5,-,128,-,-,-,128,-,71,-,128,-,83,-,128,-,96,-,128,-,96,-
East Spring Primary School,81,4,7,81,11,81,11,-,43,0,-,43,0,-,43,0,-,43,0,-,43,0,-,130,-,-,-,130,-,46,-,130,-,55,-,130,-,64,-,130,-,64,-
Edgefield Primary School,109,4,7,109,7,109,7,-,54,0,-,54,0,-,54,0,-,54,0,-,54,0,-,162,-,-,-,162,-,34,-,162,-,43,-,162,-,46,-,162,-,46,-
Elias Park Primary School,23,13,19,23,22,23,22,-,20,0,-,20,0,-,20,0,-,20,0,-,20,0,-,61,-,-,-,61,-,66,-,61,-,91,-,61,-,101,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",61,-,101,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Endeavour Primary School,122,3,6,122,6,122,6,-,59,0,-,59,0,-,59,0,-,59,0,-,59,1,-,175,-,-,-,175,-,36,-,175,-,47,-,175,-,53,-,175,-,53,-
Evergreen Primary School,52,16,17,52,18,52,18,-,31,0,-,31,0,-,31,0,-,31,0,-,31,0,-,94,-,-,-,94,-,48,-,94,-,57,-,94,-,66,-,94,-,66,-
Fairfield Methodist School (Primary),94,78,97,94,103,94,103,"Balloting will be conducted for Singapore Citizen children residing outside 2km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",20,35,-,20,35,-,20,35,-,20,35,-,20,52,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",40,-,-,-,40,-,46,-,40,-,61,-,40,-,66,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",40,-,66,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Farrer Park Primary School,125,12,19,125,20,125,20,-,55,0,-,55,0,-,55,0,-,55,0,-,55,1,-,164,-,-,-,164,-,22,-,164,-,30,-,164,-,37,-,164,-,37,-
Fengshan Primary School,67,24,28,67,33,67,33,-,31,0,-,31,0,-,31,0,-,31,0,-,31,2,-,92,-,-,-,93,-,43,-,93,-,59,-,96,-,75,-,96,-,75,-
Fern Green Primary School,50,48,50,50,50,50,50,-,20,0,-,20,0,-,20,0,-,20,0,-,20,1,-,59,-,-,-,60,-,50,-,61,-,64,-,61,-,73,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",61,-,73,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Fernvale Primary School,103,25,33,103,35,103,35,-,43,0,-,43,0,-,43,0,-,43,0,-,43,0,-,128,-,-,-,129,-,51,-,129,-,65,-,129,-,80,-,129,-,80,-
First Toa Payoh Primary School,71,8,12,71,13,71,13,-,39,0,-,39,0,-,39,0,-,39,0,-,39,0,-,118,-,-,-,119,-,5,-,119,-,7,-,119,-,9,-,119,-,9,-
Frontier Primary School,81,71,85,81,88,81,88,"Balloting will be conducted for Permanent Resident children residing within 1km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",20,11,-,20,11,-,20,11,-,20,11,-,20,13,-,47,-,-,-,47,-,39,-,47,-,51,-,48,-,63,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",48,-,63,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Fuchun Primary School,62,19,26,62,27,62,27,-,32,0,-,32,0,-,32,0,-,32,0,-,32,1,-,94,-,-,-,95,-,36,-,95,-,40,-,95,-,45,-,95,-,45,-
Fuhua Primary School,99,21,27,99,30,99,30,-,43,0,-,43,0,-,43,0,-,43,0,-,43,2,-,127,-,-,-,128,-,39,-,128,-,49,-,128,-,54,-,128,-,54,-
Gan Eng Seng Primary School,59,2,2,59,4,59,4,-,38,0,-,38,0,-,38,0,-,38,0,-,38,0,-,115,-,-,-,115,-,19,-,115,-,25,-,115,-,27,-,115,-,27,-
Geylang Methodist School (Primary),108,17,26,108,32,108,32,-,45,1,-,45,1,-,45,1,-,45,1,-,45,4,-,132,-,-,-,132,-,85,-,132,-,111,-,132,-,134,"Balloting will be conducted for Permanent Resident children residing outside 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",132,-,134,"Balloting will be conducted for Permanent Resident children residing outside 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Gongshang Primary School,46,142,163,46,163,46,163,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",20,14,-,20,14,-,20,14,-,20,14,-,20,16,-,44,-,-,-,44,-,84,-,44,-,94,-,44,-,107,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",44,-,107,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Greendale Primary School,152,17,21,152,22,152,22,-,63,0,-,63,0,-,63,0,-,63,0,-,63,0,-,190,-,-,-,190,-,18,-,190,-,19,-,190,-,23,-,190,-,23,-
Greenridge Primary School,53,4,8,53,9,53,9,-,35,0,-,35,0,-,35,0,-,35,0,-,35,1,-,103,-,-,-,103,-,18,-,103,-,19,-,103,-,19,-,103,-,19,-
Greenwood Primary School,81,5,12,82,16,82,16,-,42,3,-,42,3,-,42,3,-,42,3,-,42,3,-,123,-,-,-,123,-,68,-,123,-,78,-,123,-,89,-,123,-,89,-
Haig Girls' School,79,19,20,79,24,79,24,-,38,12,-,38,12,-,38,12,-,38,12,-,38,18,-,97,-,-,-,97,-,76,-,97,-,93,-,97,-,108,"Balloting will be conducted for Permanent Resident children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",97,-,108,"Balloting will be conducted for Permanent Resident children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Henry Park Primary School,109,81,106,109,109,109,109,-,20,22,-,20,22,-,20,22,-,20,22,-,20,23,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",41,-,-,-,42,-,51,-,42,-,65,-,44,-,64,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",44,-,64,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Holy Innocents' Primary School,103,93,108,103,115,103,115,"Balloting will be conducted for Singapore Citizen children residing outside 2km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",20,34,-,20,34,-,20,34,-,20,34,-,20,53,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",40,-,-,-,40,-,73,-,40,-,100,-,40,-,115,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",40,-,115,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Hong Wen School,68,27,34,69,34,69,34,-,32,26,-,32,26,-,32,26,-,32,26,-,32,30,-,65,-,-,-,66,-,122,-,66,-,145,-,69,-,151,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",69,-,151,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Horizon Primary School,77,87,101,77,105,77,105,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register again in  your next eligible phase.",20,11,-,20,11,-,20,11,-,20,11,-,20,16,-,44,-,-,-,44,-,52,-,44,-,69,-,44,-,81,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",44,-,81,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Hougang Primary School,54,15,21,54,22,54,22,-,31,13,-,31,13,-,31,13,-,31,13,-,31,17,-,75,-,-,-,75,-,85,-,75,-,93,-,76,-,98,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",76,-,98,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Huamin Primary School,79,63,79,79,90,79,90,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",20,0,-,20,0,-,20,0,-,20,0,-,20,1,-,60,-,-,-,61,-,55,-,61,-,75,-,61,-,95,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",61,-,95,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Innova Primary School,56,9,9,56,9,56,9,-,36,10,-,36,10,-,36,10,-,36,10,-,36,11,-,96,-,-,-,96,-,48,-,96,-,58,-,96,-,58,-,96,-,58,-
Jiemin Primary School,92,11,18,92,19,92,19,-,44,0,-,44,0,-,44,0,-,44,0,-,44,0,-,133,-,-,-,134,-,47,-,134,-,52,-,134,-,57,-,134,-,57,-
Jing Shan Primary School,39,35,44,39,51,39,51,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",20,1,-,20,1,-,20,1,-,20,1,-,20,1,-,59,-,-,-,60,-,42,-,60,-,53,-,61,-,62,"This school only has places for all Singapore Citizen children; and Permanent Resident children residing within 1km of the school. No balloting will be conducted.

If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",61,-,62,"This school only has places for all Singapore Citizen children; and Permanent Resident children residing within 1km of the school. No balloting will be conducted.

If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Junyuan Primary School,97,56,64,97,76,97,76,-,27,0,-,27,0,-,27,0,-,27,0,-,27,0,-,81,-,-,-,81,-,44,-,81,-,52,-,81,-,58,-,81,-,58,-
Jurong Primary School,101,24,34,101,37,101,37,-,41,0,-,41,0,-,41,0,-,41,0,-,41,0,-,124,-,-,-,124,-,52,-,124,-,67,-,125,-,73,-,125,-,73,-
Jurong West Primary School,63,52,59,63,65,63,65,"Balloting will be conducted for Permanent Resident children residing within 1km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",20,1,-,20,1,-,20,1,-,20,1,-,20,1,-,59,-,-,-,59,-,44,-,59,-,50,-,60,-,63,"Balloting will be conducted for Permanent Resident children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",60,-,63,"Balloting will be conducted for Permanent Resident children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Keming Primary School,80,41,50,80,51,80,51,-,30,7,-,30,7,-,30,7,-,30,7,-,30,8,-,81,-,-,-,81,-,115,-,81,-,135,-,82,-,138,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",82,-,138,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Kheng Cheng School,109,38,45,109,47,109,47,-,41,0,-,41,0,-,41,0,-,41,0,-,41,1,-,121,-,-,-,121,-,56,-,121,-,89,-,121,-,110,-,121,-,110,-
